audioTimeSec,isRunning,isOnTarget,rayOriginX,rayOriginY,rayOriginZ,rayDirX,rayDirY,rayDirZ,targetX,targetY,targetZ
9.664,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.685,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.707,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.728,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.749,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.792,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.813,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.835,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.856,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.877,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.899,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.92,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.941,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.963,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
9.984,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
10.005,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
10.027,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
10.048,1,0,0,-0.085,0.072,0,0,1,0,0,-3.5
